row,channel,visits,cost,contacts,date_time,spot
0,A,291.90000000000003,322.5,1000.0,2018-12-23 00:34:00,4189_OneItemPieceOfPaper_25_Abba
1,B,-454.65,107.5,9000.0,2018-12-23 00:57:00,3859_Winter-Time_25_Beta
2,C,148.04999999999998,432.5,11000.0,2018-12-23 01:09:00,4025_Tram_60_FPV
3,D,903.0,2375.0,24666.666666666668,2018-12-23 01:15:00,3976_At-least-a-week_90_FPV
4,C,260.40000000000003,2.5,41666.666666666664,2018-12-23 01:36:00,3964_TheView_25_FPV
5,C,116.55,4320.0,90333.33333333333,2018-12-23 02:21:00,3844_Winter-Time_90_Beta
6,E,-166.95000000000002,0.0,17000.0,2018-12-23 03:14:00,3859_Winter-Time_25_Beta
7,E,76.64999999999999,0.0,16666.666666666668,2018-12-23 03:30:00,3968_Roomservice_25_FPV
8,C,75.60000000000001,432.5,51666.666666666664,2018-12-23 03:37:00,3974_Roomservice_90_FPV
9,B,-46.2,215.0,4666.666666666667,2018-12-23 03:47:00,3836_TheView_90_FPV
10,E,68.25,22.5,3333.3333333333335,2018-12-23 04:09:00,3964_TheView_25_FPV
11,C,260.40000000000003,215.0,46000.0,2018-12-23 04:45:00,4046_At-least-a-week_25_FPV
12,C,289.8,107.5,7000.0,2018-12-23 05:11:00,4039_Winter-Time_60_Beta
13,C,219.45,325.0,78666.66666666667,2018-12-23 05:23:00,3964_TheView_25_FPV
14,C,71.39999999999999,1512.5,36000.0,2018-12-23 06:05:00,3859_Winter-Time_25_Beta
15,C,-39.9,1727.5,127000.0,2018-12-23 06:19:00,3859_Winter-Time_25_Beta
16,C,-3.15,1080.0,86666.66666666667,2018-12-23 06:30:00,3859_Winter-Time_25_Beta
17,C,93.45,1080.0,84333.33333333333,2018-12-23 06:58:00,3964_TheView_25_FPV
18,C,89.25,3022.5,64333.333333333336,2018-12-23 07:03:00,3844_Winter-Time_90_Beta
19,A,287.7,322.5,0.0,2018-12-23 07:08:00,4213_Adventure-Holiday_25_Abba
20,C,217.35,1512.5,51333.333333333336,2018-12-23 08:03:00,3964_TheView_25_FPV
21,E,168.0,562.5,16333.333333333334,2018-12-23 08:15:00,3844_Winter-Time_90_Beta
22,C,189.0,1727.5,177000.0,2018-12-23 08:26:00,4046_At-least-a-week_25_FPV
23,E,186.9,562.5,15666.666666666666,2018-12-23 08:31:00,3844_Winter-Time_90_Beta
24,C,-28.35,325.0,0.0,2018-12-23 08:48:00,3964_TheView_25_FPV
25,C,168.0,1080.0,76000.0,2018-12-23 08:58:00,3859_Winter-Time_25_Beta
26,A,196.35,322.5,0.0,2018-12-23 09:11:00,4189_OneItemPieceOfPaper_25_Abba
27,F,254.1,322.5,17333.333333333332,2018-12-23 09:37:00,3844_Winter-Time_90_Beta
28,E,-98.7,195.0,5333.333333333333,2018-12-23 10:08:00,3859_Winter-Time_25_Beta
29,D,156.45000000000002,325.0,4666.666666666667,2018-12-23 10:58:00,3859_Winter-Time_25_Beta
30,F,-14.7,322.5,46333.333333333336,2018-12-23 11:12:00,4046_At-least-a-week_25_FPV
31,E,189.0,755.0,53333.333333333336,2018-12-23 11:47:00,3859_Winter-Time_25_Beta
32,C,-229.95,865.0,29333.333333333332,2018-12-23 12:43:00,3844_Winter-Time_90_Beta
33,G,-169.05,97.5,14333.333333333334,2018-12-23 12:58:00,3859_Winter-Time_25_Beta
34,A,118.65,322.5,3000.0,2018-12-23 13:21:00,4202_Matched_90_Abba
35,C,257.25,190.0,23666.666666666668,2018-12-23 14:54:00,3859_Winter-Time_25_Beta
36,H,193.2,2700.0,228333.33333333334,2018-12-23 15:08:00,3968_Roomservice_25_FPV
37,C,303.45,4535.0,90666.66666666667,2018-12-23 15:23:00,3859_Winter-Time_25_Beta
38,I,138.6,322.5,666.6666666666666,2018-12-23 15:34:00,4213_Adventure-Holiday_25_Abba
